前書き,,
,,
始めよう,,
変数,,
整数と浮動小数点数,,
,,
,,
算術演算と初等関数,,
,,
,,
複素数と有理数,,
,,
文字列,文字,9/27
,文字列の基本,9/27
,ユニコードとUTF8,9/27
,連結,9/27
,文字列展開,9/27
,三連クオート文字列リテラル,
,よくある処理,
,非標準文字列リテラル,
,正規表現,
,バイト列リテラル,
,バージョン番号リテラル,
,生文字列リテラル,
関数,,
制御フロー,,
変数のスコープ,,
型,,
